Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,5448,0.19867564,-0.00046005,0.00000000,0.19867617,2.31528354,0.13402161,0.01540211,2.31921029,0.28361875,0.48387706,0.02352650,0.01489178,0.00829074,-0.00143577,0.56162500,2.26901364,0.13606225,-0.00627694,2.27309823,0.03764521,0.43315633,0.00000863,33.27436066,1026.81420898,42.82318497,0.73260087
internalMesh,5449,0.20074867,-0.00046297,0.00000000,0.20074921,2.31798005,0.13730709,0.01001074,2.32206488,0.28262380,0.47790691,0.02118687,0.00942935,0.00538392,-0.00064029,0.55573231,2.25141287,0.14515924,-0.01542975,2.25614023,0.03684484,0.42770367,0.00000904,33.22736359,997.61273193,42.77270126,0.73048508
internalMesh,5450,0.20283782,-0.00046591,0.00000000,0.20283836,2.32177973,0.13995065,0.00975862,2.32601428,0.28399292,0.46989998,0.01825978,-0.00052434,-0.00241076,-0.00020612,0.54936099,2.26712465,0.18515007,0.00429267,2.27467656,0.03595249,0.42202883,0.00000650,33.17551804,971.07159424,42.73437500,0.72341949
internalMesh,5451,0.20494322,-0.00046888,0.00000000,0.20494376,2.32048249,0.13889578,0.00980543,2.32465625,0.29052868,0.45803741,0.01636803,-0.00557973,-0.00221551,0.00255321,0.54269296,2.28692865,0.22113101,0.02296279,2.29770947,0.03474265,0.41720969,0.00000588,33.12217712,948.01483154,42.73331070,0.71389061
internalMesh,5452,0.03515606,-0.02466877,0.00000000,0.04294761,-0.83000714,-0.03070715,-0.09245973,0.83570546,2.70496225,0.02721469,0.06560642,-0.03782032,0.00837919,0.02729194,2.70630956,-0.31395391,-0.06086386,-0.04804803,0.32338843,0.18277492,1.58166648,0.00000563,31.99730492,6331.80810547,42.01792908,0.70793664
internalMesh,5453,0.03555640,-0.02466914,0.00000000,0.04327614,-0.81520742,-0.03716844,-0.09004290,0.82100689,2.71213484,0.02375790,0.06593732,-0.03428698,0.00665705,0.03002331,2.71343112,-0.30292958,-0.07893170,-0.04693236,0.31654257,0.18073434,1.58164934,0.00000694,32.03288651,6297.62011719,41.96859360,0.71514553
internalMesh,5454,0.11756143,-0.02471884,0.00000000,0.12013206,0.42908701,-0.01686871,0.02439539,0.43011087,1.27850258,0.01745749,0.04767557,0.00308768,0.00365448,-0.01868800,1.27965569,-0.50207353,-0.00350598,0.07888947,0.50824565,0.14676757,0.81858541,0.00000724,36.17695618,3111.17700195,45.71308136,0.75023752
internalMesh,5455,0.11852179,-0.02471972,0.00000000,0.12107220,0.49110827,-0.01698563,0.01827589,0.49174166,1.16026962,0.01709816,0.04869246,0.00173672,0.00456019,-0.01858824,1.16157579,-0.43949309,-0.00464183,0.07110848,0.44523269,0.14337547,0.75640563,0.00000447,36.22678757,3065.00708008,45.80960464,0.74976116
internalMesh,5456,0.12339865,-0.02472239,0.00000000,0.12585080,0.68687856,-0.01765609,0.01114938,0.68719590,0.85159469,0.01551750,0.04743858,-0.00213174,0.00590568,-0.01759358,0.85326064,-0.18333918,0.01155887,0.05468598,0.19167008,0.14145540,0.59873074,0.00000310,36.30814362,2926.18505859,46.05695724,0.73152333
internalMesh,5457,0.12405775,-0.02472300,0.00000000,0.12649724,0.75276631,-0.02081378,0.01181173,0.75314665,0.76720977,0.01518345,0.04618437,-0.00282577,0.00555390,-0.01885067,0.76900488,-0.08611874,-0.00866966,0.05320700,0.10160012,0.14134927,0.55563807,0.00000298,36.31181335,2879.86816406,46.12111282,0.72844028
