Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,kU_average,k_average,nut_average,omegaU_average,omega_average,p_average
internalMesh,3049,0.184605345130,-0.012436201796,0.000000000000,0.185023762165,4.862697124481,-0.257767468691,0.000000000000,4.869524478912,2.265647172928,3.236638784409,0.002301573521,854.930236816406,598.451293945312,13.435119628906
internalMesh,3050,0.186568990350,-0.012460413622,0.000000000000,0.186984625218,4.891793727875,-0.243495330215,-0.000000000000,4.897850036621,2.236576318741,3.195108890533,0.002296128776,848.445739746094,593.911987304688,13.542556762695
internalMesh,3051,0.188547901809,-0.012484813575,0.000000000000,0.188960794470,4.919559001923,-0.228822395205,-0.000000000000,4.924877643585,2.208071470261,3.154387474060,0.002291837474,842.126586914062,589.488281250000,13.647335052490
internalMesh,3052,0.190542198718,-0.012509403750,0.000000000000,0.190952388501,4.945997714996,-0.213650003076,-0.000000000000,4.950610160828,2.180212497711,3.114588260651,0.002288732678,836.002807617188,585.201416015625,13.749239921570
internalMesh,3053,0.192551992834,-0.012534184847,0.000000000000,0.192959518381,4.971153259277,-0.197817817330,0.000000000000,4.975087642670,2.153082609177,3.075832843781,0.002286820905,830.100341796875,581.069946289062,13.847793579102
internalMesh,3054,0.194577418268,-0.012559158262,0.000000000000,0.194982317547,4.995139598846,-0.181124612689,0.000000000000,4.998422145844,2.126806974411,3.038295745850,0.002284659306,824.466247558594,577.126220703125,13.942284584045
internalMesh,3055,0.196618594229,-0.012584326323,0.000000000000,0.197020904641,5.018047809601,-0.163342133164,0.000000000000,5.020705699921,2.101521730423,3.002175331116,0.002280876972,819.127136230469,573.389099121094,14.031101226807
internalMesh,3056,0.198675639927,-0.012609690195,0.000000000000,0.199075398247,5.040387153625,-0.144177764654,0.000000000000,5.042448997498,2.077363729477,2.967662572861,0.002277801279,814.090759277344,569.863220214844,14.113233566284
internalMesh,3057,0.200748674572,-0.012635250809,0.000000000000,0.201145916949,5.061675548553,-0.123430117965,-0.000000000000,5.063180446625,2.054499149323,2.934998750687,0.002275201958,809.378479003906,566.565002441406,14.181790351868
internalMesh,3058,0.202837824821,-0.012661010027,0.000000000000,0.203232586839,5.085754871368,-0.100681968033,-0.000000000000,5.086751461029,2.032780885696,2.903973102570,0.002273977734,804.982543945312,563.488159179688,14.246924400330
