# y+ ()         
# Time          	patch           	min             	max             	average         
0.000821184     	upperWall	1.88047404e-02	3.53240620e+00	1.21326970e+00
0.000821184     	lowerWall	5.80057446e-02	2.49209497e+00	1.00757295e+00
0.000830918     	upperWall	1.79995850e-02	3.53540836e+00	1.21464275e+00
0.000830918     	lowerWall	4.94906256e-02	2.49535855e+00	1.00877268e+00
0.000840631     	upperWall	1.81559361e-02	3.53840612e+00	1.21616868e+00
0.000840631     	lowerWall	5.43622063e-02	2.49860193e+00	1.01134878e+00
0.000850334     	upperWall	1.76398130e-02	3.54140205e+00	1.21760921e+00
0.000850334     	lowerWall	6.56478670e-02	2.50182802e+00	1.01183617e+00
0.000860026     	upperWall	1.77286077e-02	3.54439607e+00	1.21901911e+00
0.000860026     	lowerWall	5.01915744e-02	2.50503632e+00	1.01374107e+00
0.000869698     	upperWall	1.72346743e-02	3.54738492e+00	1.22037812e+00
0.000869698     	lowerWall	4.05024060e-02	2.50822331e+00	1.01579639e+00
0.00087936      	upperWall	1.66509551e-02	3.55037163e+00	1.22169062e+00
0.00087936      	lowerWall	2.69999477e-02	2.51139275e+00	1.01725114e+00
0.000889011     	upperWall	1.63201573e-02	3.55335601e+00	1.22314336e+00
0.000889011     	lowerWall	6.76098840e-02	2.51454455e+00	1.02034622e+00
0.000898642     	upperWall	1.64744818e-02	3.55633486e+00	1.22462176e+00
0.000898642     	lowerWall	6.23666388e-02	2.51767507e+00	1.02334166e+00
0.000908263     	upperWall	1.70397825e-02	3.55931109e+00	1.22605156e+00
0.000908263     	lowerWall	4.37846744e-02	2.52078755e+00	1.02445909e+00
0.000917874     	upperWall	1.77092554e-02	3.56228426e+00	1.22746195e+00
0.000917874     	lowerWall	6.99838482e-02	2.52388194e+00	1.02619528e+00
0.000927474     	upperWall	1.79008230e-02	3.56525415e+00	1.22883044e+00
0.000927474     	lowerWall	4.59445049e-02	2.52695826e+00	1.02669250e+00
0.000937055     	upperWall	1.74649801e-02	3.56821756e+00	1.23018430e+00
0.000937055     	lowerWall	5.45865602e-02	2.53001351e+00	1.02848676e+00
0.000946625     	upperWall	1.76119951e-02	3.57117745e+00	1.23151264e+00
0.000946625     	lowerWall	1.78618383e-02	2.53305023e+00	1.02941623e+00
0.000956185     	upperWall	1.79089097e-02	3.57413353e+00	1.23283678e+00
0.000956185     	lowerWall	5.46921719e-02	2.53606731e+00	1.03354394e+00
0.000965735     	upperWall	1.77088296e-02	3.57708553e+00	1.23429289e+00
0.000965735     	lowerWall	4.99358958e-02	2.53906691e+00	1.03486036e+00
0.000975275     	upperWall	1.71231990e-02	3.58003319e+00	1.23572752e+00
0.000975275     	lowerWall	4.69348284e-02	2.54204989e+00	1.03883039e+00
0.000984794     	upperWall	1.64327611e-02	3.58297318e+00	1.23712871e+00
0.000984794     	lowerWall	7.11142638e-02	2.54501195e+00	1.03928485e+00
0.000994304     	upperWall	1.61265572e-02	3.58590834e+00	1.23851637e+00
0.000994304     	lowerWall	4.79546810e-02	2.54795632e+00	1.03969221e+00
0.0010038       	upperWall	1.58297564e-02	3.58883839e+00	1.23987870e+00
0.0010038       	lowerWall	6.99009428e-02	2.55088308e+00	1.04145651e+00
0.00101329      	upperWall	1.57857837e-02	3.59176309e+00	1.24123051e+00
