Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,fK_average,fOmega_average,kU_average,k_average,nut_average,omegaU_average,omega_average,p_average
internalMesh,9573,0.020131863654,0.021436562762,0.000000000000,0.029407790757,10.191869735718,-0.147326886654,-0.000000000000,10.192934036255,0.500000000000,2.000000000000,0.032971039414,0.065942078829,0.000087764551,374.974914550781,187.487503051758,-3.576808452606
internalMesh,9574,0.020816770382,0.021442896221,0.000000000000,0.029885376482,10.193429946899,-0.152354255319,0.000000000000,10.194568634033,0.500000000000,2.000000000000,0.032928053290,0.065856121480,0.000087279361,376.423950195312,188.212066650391,-3.604875087738
internalMesh,9575,0.021507002413,0.021449279040,0.000000000000,0.030374705334,10.194911003113,-0.157298147678,0.000000000000,10.196124076843,0.500000000000,2.000000000000,0.032888967544,0.065777905285,0.000086760963,378.135620117188,189.067825317383,-3.632809400558
internalMesh,9576,0.022202600725,0.021455711685,0.000000000000,0.030875605951,10.196343421936,-0.162149325013,0.000000000000,10.197632789612,0.500000000000,2.000000000000,0.032854661345,0.065709315240,0.000086205822,380.144714355469,190.072357177734,-3.660188198090
internalMesh,9577,0.022903607227,0.021462194156,0.000000000000,0.031387911718,10.197659492493,-0.166906863451,0.000000000000,10.199025154114,0.500000000000,2.000000000000,0.032826356590,0.065652720630,0.000085609950,382.493865966797,191.246871948242,-3.686587810516
internalMesh,9578,0.023610063829,0.021468726918,0.000000000000,0.031911461099,10.198843002319,-0.171577498317,0.000000000000,10.200285911560,0.500000000000,2.000000000000,0.032805580646,0.065611146390,0.000084925363,385.228851318359,192.614440917969,-3.711594581604
internalMesh,9579,0.024322013371,0.021475310903,0.000000000000,0.032446098576,10.199871063232,-0.176174804568,-0.000000000000,10.201392173767,0.500000000000,2.000000000000,0.032794233412,0.065588474274,0.000084195533,388.397674560547,194.198806762695,-3.734810590744
internalMesh,9580,0.025039497763,0.021481945645,0.000000000000,0.032991672236,10.200741767883,-0.180718407035,0.000000000000,10.202342033386,0.500000000000,2.000000000000,0.032794814557,0.065589621663,0.000083435625,392.055328369141,196.027542114258,-3.755886077881
internalMesh,9581,0.025762560777,0.021488632075,0.000000000000,0.033548037890,10.201430320740,-0.185233399272,0.000000000000,10.203111648560,0.500000000000,2.000000000000,0.032810397446,0.065620794892,0.000082645471,396.264099121094,198.132049560547,-3.774516820908
internalMesh,9582,0.026491245255,0.021495371126,0.000000000000,0.034115056133,10.201937675476,-0.189749822021,-0.000000000000,10.203701972961,0.500000000000,2.000000000000,0.032844901085,0.065689794719,0.000081826322,401.096466064453,200.548263549805,-3.790451765060
internalMesh,9583,0.027225594036,0.021502161864,0.000000000000,0.034692591939,10.202291488647,-0.194303050637,0.000000000000,10.204141616821,0.500000000000,2.000000000000,0.032903127372,0.065806232393,0.000080981146,406.631622314453,203.315734863281,-3.803504228592
internalMesh,9584,0.027965652756,0.021509005222,0.000000000000,0.035280519267,10.202506065369,-0.198930442333,0.000000000000,10.204444885254,0.500000000000,2.000000000000,0.032991055399,0.065982088447,0.000080114129,412.964477539062,206.482192993164,-3.813513278961
