Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,k_r_average,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,10382,0.077775,0.023341,0.000000,0.081202,6.794890,-0.218553,-0.000285,6.798404,16.468801,0.582550,0.000733,0.566119,-0.007301,-0.020751,16.488838,9.465730,-0.308261,0.000855,9.470748,0.099930,8.526043,8.625973,0.000001,2.573248,2226972.500000,-10.177446,0.958461
internalMesh,10383,0.078908,0.023347,0.000000,0.082290,6.694628,-0.214588,0.000296,6.698066,16.888968,0.571748,0.000725,0.480592,-0.007518,-0.022007,16.905491,9.364079,-0.233652,0.000221,9.366993,0.115284,8.730720,8.846004,0.000002,2.697945,2205035.000000,-10.157946,0.958678
internalMesh,10384,0.080050,0.023353,0.000000,0.083387,6.595431,-0.207180,0.000863,6.598685,17.248005,0.581018,0.000724,0.370068,-0.007474,-0.023107,17.261772,9.207441,-0.197975,-0.001019,9.209570,0.120452,8.914873,9.035325,0.000002,2.825208,2183046.750000,-10.004395,0.958719
internalMesh,10385,0.081201,0.023359,0.000000,0.084494,6.491356,-0.199497,0.001256,6.494421,17.531513,0.605404,0.000740,0.254196,-0.007188,-0.023778,17.543823,9.047019,-0.201076,-0.002721,9.049253,0.101141,9.068829,9.169969,0.000001,2.993951,2161005.000000,-9.870851,0.960523
internalMesh,10386,0.082361,0.023365,0.000000,0.085611,6.379427,-0.192706,0.001529,6.382337,17.737061,0.632016,0.000772,0.156908,-0.006988,-0.023964,17.749029,8.920089,-0.187012,-0.004659,8.922050,0.090084,9.184924,9.275008,0.000001,3.212645,2138910.250000,-9.732080,0.962451
internalMesh,10387,0.083530,0.023371,0.000000,0.086738,6.255484,-0.185471,0.001835,6.258234,17.879511,0.643799,0.000818,0.088780,-0.006779,-0.024271,17.891336,8.827842,-0.143911,-0.005798,8.829017,0.079745,9.262065,9.341810,0.000001,3.454405,2116771.250000,-9.493235,0.963305
internalMesh,10388,0.084707,0.023377,0.000000,0.087874,6.132005,-0.173223,0.002074,6.134452,17.921204,0.637336,0.000871,0.036041,-0.006367,-0.025704,17.932589,8.719947,-0.090153,-0.005765,8.720415,0.073658,9.279704,9.353362,0.000001,3.698113,2094586.500000,-9.136632,0.963724
internalMesh,10389,0.085894,0.023383,0.000000,0.089020,6.010129,-0.160822,0.002035,6.012280,17.842953,0.627745,0.000916,-0.013026,-0.005950,-0.027542,17.854019,8.623530,-0.097017,-0.005004,8.624078,0.077914,9.235807,9.313721,0.000002,3.959741,2072352.250000,-8.719543,0.963727
internalMesh,10390,0.087091,0.023390,0.000000,0.090177,5.893653,-0.152005,0.001804,5.895613,17.647722,0.628291,0.000962,-0.072159,-0.005676,-0.027695,17.659073,8.504045,-0.184057,-0.003514,8.506037,0.098821,9.138487,9.237308,0.000003,4.235257,2050072.625000,-8.394230,0.963288
internalMesh,10391,0.088296,0.023396,0.000000,0.091343,5.774028,-0.139976,0.001463,5.775724,17.397888,0.635429,0.001000,-0.107045,-0.005482,-0.026267,17.409838,8.242917,-0.265981,-0.000899,8.247208,0.112742,9.017159,9.129901,0.000003,4.496559,2027745.375000,-8.437426,0.963492
internalMesh,10392,0.089511,0.023402,0.000000,0.092519,5.658605,-0.124183,0.000879,5.659967,17.144859,0.648331,0.001021,-0.121767,-0.005400,-0.023129,17.157562,8.018505,-0.308224,0.001292,8.024426,0.107638,8.897105,9.004743,0.000002,4.765117,2005373.125000,-9.047863,0.963961
internalMesh,10393,0.090735,0.023408,0.000000,0.093706,5.538424,-0.111485,-0.000109,5.539546,16.833569,0.667142,0.001049,-0.135125,-0.005142,-0.018166,16.847336,7.838940,-0.319930,0.001394,7.845466,0.110215,8.750879,8.861094,0.000001,5.090613,1982959.250000,-9.795566,0.964213
internalMesh,10394,0.091969,0.023415,0.000000,0.094903,5.401722,-0.101362,-0.001417,5.402674,16.623652,0.672867,0.001089,-0.156983,-0.004139,-0.013432,16.638010,7.605722,-0.316132,0.002175,7.612289,0.135101,8.648803,8.783904,0.000001,5.450264,1960504.000000,-10.033703,0.964346
internalMesh,10395,0.093212,0.023421,0.000000,0.096110,5.266686,-0.091977,-0.002927,5.267490,16.366644,0.671608,0.001139,-0.172420,-0.002942,-0.009660,16.381329,7.251978,-0.344194,0.004406,7.260143,0.158753,8.519696,8.678449,0.000002,5.785325,1938010.875000,-9.890198,0.964520
internalMesh,10396,0.094466,0.023428,0.000000,0.097327,5.145306,-0.078862,-0.004490,5.145912,16.014696,0.663265,0.001197,-0.164937,-0.002790,-0.005663,16.029276,7.037282,-0.333415,0.004174,7.045177,0.155953,8.339577,8.495531,0.000002,6.059051,1915486.750000,-10.174082,0.964717
internalMesh,10397,0.095728,0.023434,0.000000,0.098555,5.043477,-0.069607,-0.005761,5.043960,15.567661,0.663374,0.001254,-0.121429,-0.003591,0.000750,15.582262,7.000939,-0.273081,0.001479,7.006263,0.161822,8.116145,8.277967,0.000002,6.330997,1892927.750000,-10.549328,0.964918
internalMesh,10398,0.097001,0.023441,0.000000,0.099793,4.938707,-0.068814,-0.006409,4.939191,15.263798,0.674194,0.001311,-0.054826,-0.004559,0.008324,15.278781,6.867248,-0.216489,-0.002312,6.870659,0.195296,7.969652,8.164947,0.000002,6.595152,1870334.375000,-10.698044,0.965102
internalMesh,10399,0.098284,0.023447,0.000000,0.101042,4.852653,-0.067017,-0.006103,4.853119,14.792615,0.681606,0.001406,0.022328,-0.006250,0.009418,14.808331,6.788384,-0.186235,-0.005181,6.790941,0.239049,7.737813,7.976862,0.000003,6.789526,1847716.375000,-10.870440,0.965276
internalMesh,10400,0.099576,0.023454,0.000000,0.102301,4.779732,-0.050568,-0.005216,4.780002,14.300336,0.660006,0.001495,0.026324,-0.007616,0.004083,14.315585,6.768933,-0.129716,-0.007593,6.770180,0.245372,7.480918,7.726291,0.000003,6.993412,1825073.250000,-10.975422,0.965442
internalMesh,10401,0.100879,0.023461,0.000000,0.103571,4.701089,-0.026862,-0.004250,4.701168,13.964203,0.641073,0.001475,-0.005709,-0.007800,-0.002151,13.978914,6.773237,-0.022494,-0.009433,6.773281,0.236427,7.303375,7.539802,0.000002,7.293921,1802390.875000,-10.722749,0.965552
internalMesh,10402,0.102191,0.023468,0.000000,0.104851,4.620537,-0.009422,-0.003147,4.620548,13.778880,0.632391,0.001452,-0.015234,-0.007944,-0.008882,13.793398,6.819862,0.096707,-0.008884,6.820553,0.233801,7.206361,7.440162,0.000002,7.662827,1779679.875000,-9.766739,0.965609
internalMesh,10403,0.103514,0.023474,0.000000,0.106143,4.544022,0.001905,-0.002196,4.544023,13.564860,0.604070,0.001449,-0.058458,-0.008337,-0.013856,13.578440,6.790994,0.180955,-0.007068,6.793408,0.227868,7.085190,7.313058,0.000003,8.071328,1756940.250000,-8.062809,0.965633
internalMesh,10404,0.104847,0.023481,0.000000,0.107445,4.471452,0.013786,-0.001646,4.471474,13.358407,0.547202,0.001417,-0.134960,-0.007875,-0.016262,13.370303,6.696803,0.195711,-0.005775,6.699664,0.214235,6.953513,7.167748,0.000003,8.501766,1734174.500000,-6.222997,0.965596
internalMesh,10405,0.106191,0.023488,0.000000,0.108758,4.415153,0.013580,-0.001437,4.415174,13.046892,0.498547,0.001346,-0.133900,-0.006128,-0.016651,13.057113,6.633105,0.168332,-0.005466,6.635242,0.203943,6.773393,6.977336,0.000003,8.941646,1711374.125000,-4.679283,0.965484
internalMesh,10406,0.107545,0.023495,0.000000,0.110082,4.374001,0.007296,-0.001450,4.374007,12.731177,0.485038,0.001249,-0.104600,-0.004263,-0.014627,12.740852,6.559388,0.103720,-0.005793,6.560211,0.197776,6.608733,6.806509,0.000003,9.374360,1688552.125000,-3.636742,0.965050
internalMesh,10407,0.108909,0.023502,0.000000,0.111416,4.334624,0.004948,-0.001642,4.334628,12.443357,0.466372,0.001159,-0.112556,-0.002780,-0.011098,12.452608,6.496952,-0.035803,-0.005376,6.497053,0.199998,6.455444,6.655443,0.000002,9.790039,1665709.125000,-3.043231,0.964583
internalMesh,10408,0.110285,0.023509,0.000000,0.112762,4.294912,0.000045,-0.002005,4.294913,12.209481,0.447059,0.001089,-0.092773,-0.002044,-0.007537,12.218018,6.359914,-0.195646,-0.003362,6.362924,0.194169,6.328814,6.522983,0.000003,10.158383,1642856.250000,-2.858579,0.964589
internalMesh,10409,0.111670,0.023517,0.000000,0.114120,4.251925,-0.009944,-0.002316,4.251938,12.018533,0.425450,0.001032,-0.053917,-0.002118,-0.004489,12.026183,6.121582,-0.299608,-0.000883,6.128909,0.179385,6.222507,6.401892,0.000002,10.483193,1619989.625000,-3.012116,0.964282
internalMesh,10410,0.113067,0.023524,0.000000,0.115488,4.211497,-0.024038,-0.002491,4.211566,11.807555,0.407651,0.000976,-0.025533,-0.002480,-0.002256,11.814618,5.822748,-0.327686,0.000504,5.831962,0.181220,6.108091,6.289311,0.000003,10.792056,1597111.250000,-3.414936,0.962222
internalMesh,10411,0.114474,0.023531,0.000000,0.116868,4.154221,-0.033624,-0.002614,4.154358,11.640469,0.385721,0.000922,-0.010537,-0.002748,-0.000705,11.646863,5.520609,-0.282561,0.000200,5.527836,0.192204,6.013556,6.205760,0.000004,11.084812,1574223.250000,-3.935492,0.953557
internalMesh,10412,0.115893,0.023538,0.000000,0.118259,4.087037,-0.030841,-0.002739,4.087154,11.519575,0.349890,0.000863,-0.009771,-0.002649,0.000008,11.524892,5.226273,-0.176761,-0.000509,5.229261,0.205458,5.935164,6.140622,0.000003,11.355551,1551325.750000,-4.403775,0.942793
internalMesh,10413,0.117322,0.023546,0.000000,0.119662,4.009541,-0.026074,-0.002843,4.009627,11.497721,0.317721,0.000797,-0.004357,-0.002430,-0.000117,11.502110,4.996672,-0.073048,0.000190,4.997206,0.230385,5.908120,6.138504,0.000004,11.600038,1528424.000000,-4.610398,0.937489
internalMesh,10414,0.118763,0.023553,0.000000,0.121076,3.939904,-0.026694,-0.002885,3.939996,11.499212,0.294214,0.000737,0.020283,-0.002328,0.000252,11.502994,4.891586,-0.023985,0.001120,4.891645,0.248636,5.897081,6.145717,0.000005,11.804507,1505520.875000,-4.556221,0.935485
internalMesh,10415,0.120215,0.023561,0.000000,0.122502,3.884886,-0.028451,-0.002839,3.884991,11.433010,0.276482,0.000685,0.036035,-0.002367,0.000928,11.436410,4.782012,-0.002787,0.001006,4.782013,0.247185,5.855087,6.102273,0.000004,11.983763,1482614.125000,-4.235180,0.933660
internalMesh,10416,0.121678,0.023568,0.000000,0.123939,3.836832,-0.027549,-0.002802,3.836932,11.332781,0.262278,0.000640,0.033895,-0.002320,0.001483,11.335867,4.723435,-0.023251,-0.000755,4.723492,0.210609,5.797850,6.008459,0.000006,12.155004,1459710.000000,-3.808045,0.932445
internalMesh,10417,0.123152,0.023576,0.000000,0.125388,3.784621,-0.027444,-0.002806,3.784722,11.262288,0.252949,0.000600,0.035985,-0.002105,0.001702,11.265186,4.643623,-0.050434,-0.002155,4.643897,0.188502,5.757919,5.946421,0.000006,12.315572,1436810.000000,-3.448540,0.931762
