Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,ddt0(U)_average_0,ddt0(U)_average_1,ddt0(U)_average_2,ddt0(U)_average_Magnitude,ddt0(kU)_average,ddt0(omegaU)_average,ddtCorrDdt0(U)_average_0,ddtCorrDdt0(U)_average_1,ddtCorrDdt0(U)_average_2,ddtCorrDdt0(U)_average_Magnitude,fK_average,kU_average,k_average,nut_average,omegaU_average,omega_average,p_average
internalMesh,25,-0.01016828,0.00048970,0.00000000,0.01018006,9.50533962,0.11047564,0.00000000,9.50598145,0.37576213,-0.05024837,0.00000000,0.37910694,-0.06998355,-1726.20141602,0.37576213,-0.05024837,0.00000000,0.37910694,0.19999994,1.03655863,5.18279171,0.00003931,26371.42968750,5274.28515625,0.72692543
internalMesh,26,-0.00900222,0.00048970,0.00000000,0.00901553,9.24079990,0.08744563,0.00000000,9.24121380,0.50583178,-0.05536505,0.00000000,0.50885272,-0.09927215,-1967.75878906,0.50583178,-0.05536505,0.00000000,0.50885272,0.19999994,1.11053860,5.55269623,0.00004148,26773.41210938,5354.68505859,0.54940754
internalMesh,27,-0.00788276,0.00048970,0.00000000,0.00789795,8.98294449,0.06846867,0.00000000,8.98320580,0.65507782,-0.05871025,0.00000000,0.65770346,-0.13618983,-2187.02026367,0.65507782,-0.05871025,0.00000000,0.65770346,0.19999994,1.18012118,5.90060568,0.00004379,26950.33789062,5390.06494141,0.40991729
internalMesh,28,-0.00680802,0.00048970,0.00000000,0.00682560,8.73555565,0.05371615,0.00000000,8.73572063,0.81707025,-0.06189281,0.00000000,0.81941110,-0.18179539,-2392.90332031,0.81707025,-0.06189281,0.00000000,0.81941110,0.19999994,1.24592698,6.22963428,0.00004618,26977.63085938,5395.52685547,0.28847539
internalMesh,29,-0.00577621,0.00048970,0.00000000,0.00579693,8.50059032,0.04274229,0.00000000,8.50069809,0.98651135,-0.06865701,0.00000000,0.98889756,-0.25017434,-2699.49340820,0.98651135,-0.06865701,0.00000000,0.98889756,0.19999994,1.30907118,6.54535437,0.00004865,26908.45898438,5381.69189453,0.16817045
internalMesh,30,-0.00478564,0.00048970,0.00000000,0.00481063,8.27886772,0.03478015,0.00000000,8.27894115,1.12200296,-0.10515613,0.00000000,1.12691987,-0.48422948,-4250.38916016,1.12200296,-0.10515613,0.00000000,1.12691987,0.19999994,1.37083554,6.85417604,0.00005119,26779.20117188,5355.83935547,0.03777000
internalMesh,31,-0.00383464,0.00048970,0.00000000,0.00386578,8.07103634,0.02918467,0.00000000,8.07108879,1.25752783,-0.15482907,0.00000000,1.26702344,-0.77997446,-5879.14648438,1.25752783,-0.15482907,0.00000000,1.26702344,0.19999994,1.43241906,7.16209459,0.00005382,26614.12109375,5322.82373047,-0.10654570
internalMesh,32,-0.00292163,0.00048970,0.00000000,0.00296239,7.87572813,0.02508708,0.00000000,7.87576818,1.40966856,-0.18617189,0.00000000,1.42190909,-1.16441572,-7656.17138672,1.40966856,-0.18617189,0.00000000,1.42190909,0.19999994,1.49472904,7.47364330,0.00005655,26429.05664062,5285.81347656,-0.26833367
internalMesh,33,-0.00204510,0.00048970,0.00000000,0.00210292,7.69313860,0.02393805,0.00000000,7.69317579,1.54252481,-0.20145047,0.00000000,1.55562365,-1.71397412,-9895.33203125,1.54252481,-0.20145047,0.00000000,1.55562365,0.19999994,1.55991054,7.79955626,0.00005943,26242.56640625,5248.51269531,-0.45527261
internalMesh,34,-0.00120360,0.00048970,0.00000000,0.00129940,7.52885342,0.02463187,0.00000000,7.52889395,1.78499293,-0.30783367,0.00000000,1.81134236,-2.21807003,-10970.40917969,1.78499293,-0.30783367,0.00000000,1.81134236,0.19999994,1.64346969,8.21734715,0.00006285,26143.52148438,5228.70605469,-0.68815142
internalMesh,35,-0.00039571,0.00048970,0.00000000,0.00062960,7.39821577,0.05077697,0.00000000,7.39838982,1.66191244,0.38525236,0.00000000,1.70598137,-2.54360676,-6186.03417969,1.66191244,0.38525236,0.00000000,1.70598137,0.19999994,1.75437832,8.77188969,0.00006704,26156.62695312,5231.32568359,-1.11478484
internalMesh,36,-0.01980858,0.00084369,0.00000000,0.01982654,10.03781223,0.07905598,0.00000000,10.03812313,-0.00067924,-0.00340899,0.00000000,0.00347600,-0.00003090,-10.57529163,-0.00067924,-0.00340899,0.00000000,0.00347600,0.19999994,0.37941468,1.89707279,0.00067420,301.89883423,60.37976456,3.90014172
internalMesh,37,-0.01825736,0.00084369,0.00000000,0.01827685,10.14297295,0.13501766,0.00000000,10.14387131,0.00518247,-0.01250350,0.00000000,0.01353497,-0.00042345,-70.03476715,0.00518247,-0.01250350,0.00000000,0.01353497,0.19999994,0.39112911,1.95564592,0.00030171,1083.07360840,216.61492920,3.21508336
internalMesh,38,-0.01676812,0.00084369,0.00000000,0.01678933,10.24297714,0.15941250,0.00000000,10.24421787,0.01943832,-0.02189316,0.00000000,0.02927727,-0.00117029,-196.61325073,0.01943832,-0.02189316,0.00000000,0.02927727,0.19999994,0.40156901,2.00784445,0.00018304,2193.94091797,438.78823853,2.57464314
internalMesh,39,-0.01533838,0.00084369,0.00000000,0.01536157,10.32416344,0.17739296,0.00000000,10.32568741,0.03695120,-0.03094045,0.00000000,0.04819443,-0.00311887,-390.91931152,0.03695120,-0.03094045,0.00000000,0.04819443,0.19999994,0.40938431,2.04692173,0.00011830,3460.77294922,692.15496826,2.14346695
internalMesh,40,-0.01396577,0.00084369,0.00000000,0.01399123,10.38496113,0.18457274,0.00000000,10.38660145,0.05800670,-0.04056167,0.00000000,0.07078154,-0.00653900,-638.62731934,0.05800670,-0.04056167,0.00000000,0.07078154,0.19999994,0.41585404,2.07927132,0.00008838,4705.81689453,941.16339111,1.71434355
internalMesh,41,-0.01264799,0.00084369,0.00000000,0.01267610,10.42271519,0.18111825,0.00000000,10.42428875,0.08185278,-0.04975552,0.00000000,0.09578877,-0.01161520,-925.01257324,0.08185278,-0.04975552,0.00000000,0.09578877,0.19999994,0.42200956,2.11004686,0.00007259,5814.11914062,1162.82495117,1.30160081
internalMesh,42,-0.01138286,0.00084369,0.00000000,0.01141408,10.43301201,0.17131631,0.00000000,10.43441868,0.11518925,-0.05831743,0.00000000,0.12911037,-0.01869684,-1237.19226074,0.11518925,-0.05831743,0.00000000,0.12911037,0.19999994,0.42869630,2.14348173,0.00006358,6743.55468750,1348.71069336,0.97179598
internalMesh,43,-0.01016828,0.00084369,0.00000000,0.01020322,10.41714287,0.15939859,0.00000000,10.41836262,0.16231531,-0.07009519,0.00000000,0.17680383,-0.02885922,-1587.56298828,0.16231531,-0.07009519,0.00000000,0.17680383,0.19999994,0.43670648,2.18353248,0.00005821,7503.93554688,1500.78723145,0.72635317
internalMesh,44,-0.00900222,0.00084369,0.00000000,0.00904167,10.38008404,0.14833905,0.00000000,10.38114357,0.22478351,-0.08280005,0.00000000,0.23954847,-0.04381414,-1986.71813965,0.22478351,-0.08280005,0.00000000,0.23954847,0.19999994,0.44680399,2.23402047,0.00005497,8129.54150391,1625.90820312,0.53753287
internalMesh,45,-0.00788276,0.00084369,0.00000000,0.00792778,10.32724190,0.13962868,0.00000000,10.32818604,0.30490720,-0.09643785,0.00000000,0.31979471,-0.06394424,-2433.13696289,0.30490720,-0.09643785,0.00000000,0.31979471,0.19999994,0.45973945,2.29869699,0.00005310,8659.30175781,1731.86059570,0.38383090
internalMesh,46,-0.00680802,0.00084369,0.00000000,0.00686009,10.26302433,0.13347588,0.00000000,10.26389217,0.39950627,-0.11004998,0.00000000,0.41438660,-0.09073232,-2948.54882812,0.39950627,-0.11004998,0.00000000,0.41438660,0.19999994,0.47611836,2.38059139,0.00005218,9126.51953125,1825.30407715,0.24924998
internalMesh,47,-0.00577621,0.00084369,0.00000000,0.00583750,10.19085407,0.12949570,0.00000000,10.19167709,0.50222105,-0.12323731,0.00000000,0.51712030,-0.12634662,-3545.28369141,0.50222105,-0.12323731,0.00000000,0.51712030,0.19999994,0.49637139,2.48185754,0.00005195,9556.32714844,1911.26550293,0.11857509
internalMesh,48,-0.00478564,0.00084369,0.00000000,0.00485944,10.11314106,0.12703851,0.00000000,10.11393929,0.61706722,-0.13291386,0.00000000,0.63121951,-0.17629768,-4273.15136719,0.61706722,-0.13291386,0.00000000,0.63121951,0.19999994,0.52074385,2.60371852,0.00005227,9965.15625000,1993.03198242,-0.01849007
internalMesh,49,-0.00383464,0.00084369,0.00000000,0.00392635,10.03141403,0.12529580,0.00000000,10.03219604,0.75128406,-0.12598895,0.00000000,0.76177490,-0.24793883,-5175.63720703,0.75128406,-0.12598895,0.00000000,0.76177490,0.19999994,0.54928321,2.74641728,0.00005297,10362.66601562,2072.53173828,-0.16780257
internalMesh,50,-0.00292163,0.00084369,0.00000000,0.00304101,9.94831467,0.12391236,0.00000000,9.94908619,0.90674335,-0.12095211,0.00000000,0.91477478,-0.34851706,-6283.62402344,0.90674335,-0.12095211,0.00000000,0.91477478,0.19999994,0.57973289,2.89866304,0.00005170,10753.80761719,2150.76196289,-0.33387232
internalMesh,51,-0.00204510,0.00084369,0.00000000,0.00221230,9.86482143,0.12276569,0.00000000,9.86558533,1.03087473,0.02911215,0.00000000,1.03128576,-0.47455779,-7430.59765625,1.03087473,0.02911215,0.00000000,1.03128576,0.19999994,0.61220020,3.06100154,0.00005099,11143.13769531,2228.62573242,-0.52383238
internalMesh,52,-0.00120360,0.00084369,0.00000000,0.00146985,9.78637028,0.12204237,0.00000000,9.78713131,1.37852907,0.17346811,0.00000000,1.38940048,-0.62027717,-8147.68847656,1.37852907,0.17346811,0.00000000,1.38940048,0.19999994,0.64696372,3.23481846,0.00005091,11531.12695312,2306.22656250,-0.75741756
internalMesh,53,-0.00039571,0.00084369,0.00000000,0.00093188,9.70464516,0.11379804,0.00000000,9.70531273,2.02733588,0.04818541,0.00000000,2.02790833,-0.98380524,-9542.62304688,2.02733588,0.04818541,0.00000000,2.02790833,0.19999994,0.68205833,3.41029191,0.00005177,11882.29687500,2376.46093750,-1.07564509
internalMesh,54,-0.01980858,0.00122309,0.00000000,0.01984631,10.01969528,0.06198639,0.00000000,10.01988697,0.00012256,-0.00389633,0.00000000,0.00389825,0.00000104,-1.18925560,0.00012256,-0.00389633,0.00000000,0.00389825,0.19999994,0.37612033,1.88060033,0.00159493,54.61547470,10.92309666,3.59008360
internalMesh,55,-0.01825736,0.00122309,0.00000000,0.01829829,10.08323288,0.11988610,0.00000000,10.08394527,0.00373791,-0.01529297,0.00000000,0.01574316,0.00025430,-12.46730614,0.00373791,-0.01529297,0.00000000,0.01574316,0.19999994,0.37842008,1.89210069,0.00105839,125.82476807,25.16495705,3.09212589
internalMesh,56,-0.01676812,0.00122309,0.00000000,0.01681267,10.14627075,0.14551151,0.00000000,10.14731407,0.02170507,-0.02666532,0.00000000,0.03438240,0.00050359,-41.67889786,0.02170507,-0.02666532,0.00000000,0.03438240,0.19999994,0.38151932,1.90759730,0.00068472,268.47500610,53.69501495,2.50467825
internalMesh,57,-0.01533838,0.00122309,0.00000000,0.01538707,10.20058250,0.16080908,0.00000000,10.20184994,0.04716424,-0.03722243,0.00000000,0.06008306,0.00055423,-99.88380432,0.04716424,-0.03722243,0.00000000,0.06008306,0.19999994,0.38465115,1.92325521,0.00053478,486.02575684,97.20513916,2.09017301
internalMesh,58,-0.01396577,0.00122309,0.00000000,0.01401922,10.25124645,0.16727237,0.00000000,10.25261116,0.07415749,-0.04795692,0.00000000,0.08831307,0.00038524,-194.15335083,0.07415749,-0.04795692,0.00000000,0.08831307,0.19999994,0.38714394,1.93571961,0.00047651,761.67773438,152.33552551,1.69804001
internalMesh,59,-0.01264799,0.00122309,0.00000000,0.01270699,10.29438591,0.16512915,0.00000000,10.29571056,0.10425167,-0.05887384,0.00000000,0.11972693,0.00043373,-323.26519775,0.10425167,-0.05887384,0.00000000,0.11972693,0.19999994,0.38772857,1.93864381,0.00036497,1062.81628418,212.56350708,1.32168627
internalMesh,60,-0.01138286,0.00122309,0.00000000,0.01144838,10.32656860,0.15745312,0.00000000,10.32776928,0.13424413,-0.07027356,0.00000000,0.15152511,0.00019848,-488.34054565,0.13424413,-0.07027356,0.00000000,0.15152511,0.19999994,0.38641152,1.93205738,0.00028371,1362.82934570,272.56616211,1.01131082
internalMesh,61,-0.01016828,0.00122309,0.00000000,0.01024157,10.34744167,0.14781743,0.00000000,10.34849739,0.17139512,-0.08310564,0.00000000,0.19048055,-0.00040842,-694.58190918,0.17139512,-0.08310564,0.00000000,0.19048055,0.19999994,0.38368854,1.91844213,0.00023329,1646.02722168,329.20550537,0.77190536
internalMesh,62,-0.00900222,0.00122309,0.00000000,0.00908493,10.35926819,0.13854578,0.00000000,10.36019421,0.18213183,-0.10254322,0.00000000,0.20901462,-0.00143539,-968.58020020,0.18213183,-0.10254322,0.00000000,0.20901462,0.19999994,0.38015521,1.90077627,0.00019950,1907.57861328,381.51574707,0.58105153
internalMesh,63,-0.00788276,0.00122309,0.00000000,0.00797708,10.36623955,0.13100506,0.00000000,10.36706734,0.22368771,-0.11518842,0.00000000,0.25160399,-0.00363706,-1275.47753906,0.22368771,-0.11518842,0.00000000,0.25160399,0.19999994,0.37637761,1.88188720,0.00017521,2151.24072266,430.24819946,0.42171213
internalMesh,64,-0.00680802,0.00122309,0.00000000,0.00691701,10.36960220,0.12558472,0.00000000,10.37036228,0.26725638,-0.11994312,0.00000000,0.29293740,-0.00747898,-1627.07128906,0.26725638,-0.11994312,0.00000000,0.29293740,0.19999994,0.37285924,1.86429572,0.00015688,2381.18139648,476.23632812,0.28119448
internalMesh,65,-0.00577621,0.00122309,0.00000000,0.00590429,10.37039089,0.12217153,0.00000000,10.37111092,0.30256599,-0.12362530,0.00000000,0.32684767,-0.01391995,-2030.87231445,0.30256599,-0.12362530,0.00000000,0.32684767,0.19999994,0.37002790,1.85013926,0.00014262,2600.89916992,520.17980957,0.14540049
internalMesh,66,-0.00478564,0.00122309,0.00000000,0.00493946,10.36946392,0.12030789,0.00000000,10.37016201,0.32209763,-0.14089958,0.00000000,0.35156730,-0.02550281,-2537.38061523,0.32209763,-0.14089958,0.00000000,0.35156730,0.19999994,0.36823466,1.84117222,0.00013131,2813.25366211,562.65063477,0.00471417
internalMesh,67,-0.00383464,0.00122309,0.00000000,0.00402497,10.36733437,0.11938476,0.00000000,10.36802197,0.31986403,-0.15037364,0.00000000,0.35344765,-0.04615124,-3196.77587891,0.31986403,-0.15037364,0.00000000,0.35344765,0.19999994,0.36775103,1.83875549,0.00012225,3020.40625000,604.08142090,-0.14719738
internalMesh,68,-0.00292163,0.00122309,0.00000000,0.00316731,10.36473083,0.11883199,0.00000000,10.36541176,0.33963844,-0.20220992,0.00000000,0.39527601,-0.08105283,-4088.90966797,0.33963844,-0.20220992,0.00000000,0.39527601,0.19999994,0.36868411,1.84341991,0.00011496,3223.63867188,644.72796631,-0.31434762
internalMesh,69,-0.00204510,0.00122309,0.00000000,0.00238294,10.36204243,0.11799318,0.00000000,10.36271381,0.37467000,-0.27239951,0.00000000,0.46322682,-0.13168967,-5110.76123047,0.37467000,-0.27239951,0.00000000,0.46322682,0.19999994,0.37109900,1.85549462,0.00010909,3423.96313477,684.79278564,-0.50262004
internalMesh,70,-0.00120360,0.00122309,0.00000000,0.00171598,10.36098194,0.11610359,0.00000000,10.36163235,0.36802357,0.06623980,0.00000000,0.37393725,-0.22440620,-6266.34863281,0.36802357,0.06623980,0.00000000,0.37393725,0.19999994,0.37490585,1.87452948,0.00010443,3620.58569336,724.11718750,-0.72059524
internalMesh,71,-0.00039571,0.00122309,0.00000000,0.00128551,10.35864449,0.10668308,0.00000000,10.35919380,0.60508478,0.20141669,0.00000000,0.63772744,-0.40118426,-9698.16699219,0.60508478,0.20141669,0.00000000,0.63772744,0.19999994,0.37987763,1.89938855,0.00010092,3805.23046875,761.04620361,-0.98025066
internalMesh,72,-0.01980858,0.00162971,0.00000000,0.01987551,10.01208687,0.05111331,0.00000000,10.01221752,0.00055956,-0.00424424,0.00000000,0.00428097,-0.00006808,-0.13435449,0.00055956,-0.00424424,0.00000000,0.00428097,0.19999994,0.37575945,1.87879753,0.00195264,40.65589142,8.13117790,3.32091498
internalMesh,73,-0.01825736,0.00162971,0.00000000,0.01832996,10.06052494,0.10724896,0.00000000,10.06109619,0.00237536,-0.01820832,0.00000000,0.01836260,0.00021696,-1.98251820,0.00237536,-0.01820832,0.00000000,0.01836260,0.19999994,0.37680462,1.88402283,0.00177885,46.71092606,9.34218788,2.94181442
internalMesh,74,-0.01676812,0.00162971,0.00000000,0.01684713,10.11170006,0.13296872,0.00000000,10.11257458,0.01822231,-0.03179506,0.00000000,0.03664667,0.00075313,-7.92764664,0.01822231,-0.03179506,0.00000000,0.03664667,0.19999994,0.37813267,1.89066362,0.00143695,61.92498398,12.38499546,2.42162561
internalMesh,75,-0.01533838,0.00162971,0.00000000,0.01542472,10.15609074,0.14781970,0.00000000,10.15716648,0.04390727,-0.04438467,0.00000000,0.06243274,0.00134630,-21.03435326,0.04390727,-0.04438467,0.00000000,0.06243274,0.19999994,0.37963751,1.89818799,0.00121453,90.17245483,18.03449249,2.02822685
internalMesh,76,-0.01396577,0.00162971,0.00000000,0.01406053,10.19734764,0.15467831,0.00000000,10.19852066,0.07466865,-0.05674766,0.00000000,0.09378541,0.00189622,-44.61390686,0.07466865,-0.05674766,0.00000000,0.09378541,0.19999994,0.38120091,1.90600443,0.00103989,132.95748901,26.59149361,1.66667628
internalMesh,77,-0.01264799,0.00162971,0.00000000,0.01275255,10.23408031,0.15384854,0.00000000,10.23523712,0.11089957,-0.07006416,0.00000000,0.13117813,0.00243423,-80.66685486,0.11089957,-0.07006416,0.00000000,0.13117813,0.19999994,0.38255182,1.91275871,0.00094879,187.77214050,37.55442429,1.31895459
internalMesh,78,-0.01138286,0.00162971,0.00000000,0.01149893,10.26394272,0.14829378,0.00000000,10.26501369,0.15180363,-0.08422586,0.00000000,0.17360397,0.00286938,-131.58331299,0.15180363,-0.08422586,0.00000000,0.17360397,0.19999994,0.38346744,1.91733849,0.00092834,250.83264160,50.16653442,1.02287984
