Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,epsilonU_average,epsilon_average,fK_average,kU_average,k_average,nut_average,p_average
internalMesh,4034,0.053055414930,-0.004767105216,0.000000000000,0.053269150036,6.048416614532,-2.237862110138,0.000000000000,6.449137210846,1.069845557213,1.069845557213,0.099999949336,0.004582138266,0.045821372420,0.000001873713,-29.793979644775
internalMesh,4035,0.053996292874,-0.004781183205,0.000000000000,0.054207558117,6.079988956451,-2.247447013855,-0.000000000000,6.482074260712,1.069797635078,1.069797635078,0.099999949336,0.004617584404,0.046175841242,0.000001904566,-28.624324798584
internalMesh,4036,0.054944487289,-0.004795370740,0.000000000000,0.055153352246,6.107653617859,-2.255084037781,-0.000000000000,6.510671138763,1.067909121513,1.067909121513,0.099999949336,0.004648907576,0.046489071101,0.000001934766,-27.437229156494
internalMesh,4037,0.055900054052,-0.004809668520,0.000000000000,0.056106585659,6.130475044250,-2.262533187866,0.000000000000,6.534659862518,1.064270734787,1.064270734787,0.099999949336,0.004675871227,0.046758707613,0.000001964167,-26.229492187500
internalMesh,4038,0.056863049045,-0.004824077361,0.000000000000,0.057067311739,6.148440361023,-2.266955375671,0.000000000000,6.553045749664,1.059712171555,1.059712171555,0.099999949336,0.004699950106,0.046999510378,0.000001993015,-24.999975204468
internalMesh,4039,0.057833530009,-0.004838598194,0.000000000000,0.058035585857,6.161718845367,-2.265303134918,-0.000000000000,6.564935684204,1.054709076881,1.054709076881,0.099999949336,0.004722280428,0.047222796828,0.000002021457,-23.750986099243
internalMesh,4040,0.058811556548,-0.004853232065,0.000000000000,0.059011465370,6.170347213745,-2.256070852280,0.000000000000,6.569858551025,1.049515843391,1.049515843391,0.099999949336,0.004743079189,0.047430787235,0.000002049411,-22.486797332764
internalMesh,4041,0.059797188267,-0.004867979675,0.000000000000,0.059995007715,6.174885272980,-2.236780881882,0.000000000000,6.567525863647,1.043781280518,1.043781280518,0.099999949336,0.004761310294,0.047613106668,0.000002076541,-21.213146209717
internalMesh,4042,0.060790482908,-0.004882841953,0.000000000000,0.060986268600,6.176194190979,-2.208726406097,0.000000000000,6.559256553650,1.036710619926,1.036710619926,0.099999949336,0.004775239620,0.047752413899,0.000002102404,-19.942409515381
internalMesh,4043,0.061791500077,-0.004897819948,0.000000000000,0.061985305694,6.175513744354,-2.174690246582,0.000000000000,6.547232151031,1.028776407242,1.028776407242,0.099999949336,0.004784902558,0.047849029303,0.000002126744,-18.684103012085
internalMesh,4044,0.062800299376,-0.004912914243,0.000000000000,0.062992176721,6.174806118011,-2.135055780411,-0.000000000000,6.533505439758,1.020675420761,1.020675420761,0.099999949336,0.004790363833,0.047903645784,0.000002149139,-17.449539184570
internalMesh,4045,0.063816942275,-0.004928125767,0.000000000000,0.064006941380,6.175359249115,-2.089241743088,-0.000000000000,6.519201755524,1.011637449265,1.011637449265,0.099999949336,0.004789661150,0.047896608710,0.000002168940,-16.249237060547
internalMesh,4046,0.064841490239,-0.004943455569,0.000000000000,0.065029659459,6.178842544556,-2.039173841476,-0.000000000000,6.506637096405,1.001160621643,1.001160621643,0.099999949336,0.004782359581,0.047823596746,0.000002186075,-15.093363761902
internalMesh,4047,0.065874002874,-0.004958904698,0.000000000000,0.066060388967,6.186744689941,-1.987719058990,0.000000000000,6.498218059540,0.990383148193,0.990383148193,0.099999949336,0.004771517124,0.047715175897,0.000002201266,-13.992685317993
internalMesh,4048,0.066914539784,-0.004974473966,0.000000000000,0.067099187967,6.199857234955,-1.936725974083,0.000000000000,6.495316505432,0.980193316936,0.980193316936,0.099999949336,0.004759223666,0.047592233866,0.000002214962,-12.952388763428
internalMesh,4049,0.067963168025,-0.004990164191,0.000000000000,0.068146122022,6.217928886414,-1.888294339180,0.000000000000,6.498330116272,0.970193743706,0.970193743706,0.099999949336,0.004744699225,0.047446981072,0.000002226962,-11.975101470947
internalMesh,4050,0.069019950926,-0.005005976302,0.000000000000,0.069201253057,6.240030288696,-1.842465996742,0.000000000000,6.506355285645,0.959992945194,0.959992945194,0.099999949336,0.004727127030,0.047271270305,0.000002236942,-11.057499885559
internalMesh,4051,0.070084948093,-0.005021911347,0.000000000000,0.070264639348,6.265390396118,-1.798367500305,0.000000000000,6.518377304077,0.949008703232,0.949008703232,0.099999949336,0.004704772029,0.047047737986,0.000002244255,-10.197478294373
internalMesh,4052,0.071158226579,-0.005037970492,0.000000000000,0.071336346673,6.293315887451,-1.755365014076,0.000000000000,6.533538818359,0.936663091183,0.936663091183,0.099999949336,0.004675696604,0.046756964177,0.000002248208,-9.393201828003
internalMesh,4053,0.072239849716,-0.005054154433,0.000000000000,0.072416437113,6.323176860809,-1.713013410568,0.000000000000,6.551105499268,0.922721266747,0.922721266747,0.099999949336,0.004638789687,0.046387899667,0.000002248313,-8.642856597900
internalMesh,4054,0.073329884559,-0.005070464103,0.000000000000,0.073504976537,6.354320526123,-1.672543883324,0.000000000000,6.570752620697,0.907350957394,0.907350957394,0.099999949336,0.004594150465,0.045941498131,0.000002244356,-7.943327426910
internalMesh,4055,0.074428394437,-0.005086900666,0.000000000000,0.074602027163,6.386317253113,-1.635411381721,-0.000000000000,6.592391014099,0.891417324543,0.891417324543,0.099999949336,0.004543619230,0.045436199754,0.000002236403,-7.292878627777
internalMesh,4056,0.075535442680,-0.005103465053,0.000000000000,0.075707651241,6.418869972229,-1.602158665657,-0.000000000000,6.615799427032,0.875711560249,0.875711560249,0.099999949336,0.004488760140,0.044887609780,0.000002224433,-6.686279773712
internalMesh,4057,0.076651096344,-0.005120158195,0.000000000000,0.076821914781,6.451300621033,-1.573055982590,-0.000000000000,6.640315055847,0.860797703266,0.860797703266,0.099999949336,0.004430753179,0.044307526201,0.000002208415,-6.120753765106
internalMesh,4058,0.077775422484,-0.005136981141,0.000000000000,0.077944883846,6.482995510101,-1.545709371567,0.000000000000,6.664716720581,0.847281813622,0.847281813622,0.099999949336,0.004370717797,0.043707184494,0.000002188425,-5.592400074005
internalMesh,4059,0.078908491880,-0.005153934821,0.000000000000,0.079076628247,6.514550685883,-1.516932368279,0.000000000000,6.688830375671,0.835310518742,0.835310518742,0.099999949336,0.004308651667,0.043086517602,0.000002164468,-5.100835323334
