Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average,turbint_U_average,k_total_average,turbint_uprime_average
internalMesh,9066,0.045785,0.018513,0.000000,0.049386,9.508310,-1.069358,0.000000,9.568254,2.579902,0.792743,0.000000,-0.879300,0.000000,0.000000,2.838574,10.120433,-0.928950,0.000000,10.162977,1.686323,0.000009,9.806960,2901515.500000,-0.628587,0.999960,9.568989,0.109767,1.051245
internalMesh,9067,0.046669,0.018529,0.000000,0.050213,9.472702,-1.104209,0.000000,9.536842,2.605274,0.853203,0.000000,-0.953103,0.000000,0.000000,2.902381,10.098815,-0.973688,0.000000,10.145646,1.729239,0.000009,9.996587,2880971.250000,-0.371801,0.999947,9.537666,0.111436,1.064096
internalMesh,9068,0.047561,0.018546,0.000000,0.051049,9.436629,-1.138632,0.000000,9.505075,2.630519,0.919479,0.000000,-1.028671,0.000000,-0.000000,2.970393,10.077526,-1.020879,-0.000000,10.129103,1.774999,0.000009,10.181594,2860405.250000,-0.105810,0.999931,9.506009,0.113189,1.077635
internalMesh,9069,0.048459,0.018563,0.000000,0.051893,9.399856,-1.172403,0.000000,9.472688,2.655688,0.992149,0.000000,-1.105440,0.000000,0.000000,3.042866,10.056864,-1.071252,0.000000,10.113757,1.823918,0.000010,10.360462,2839808.500000,0.162956,0.999915,9.473753,0.115039,1.091931
internalMesh,9070,0.049364,0.018580,0.000000,0.052745,9.361962,-1.205232,0.000000,9.439222,2.680555,1.071776,0.000000,-1.182545,0.000000,-0.000000,3.119694,10.036441,-1.125786,-0.000000,10.099383,1.876166,0.000010,10.531695,2819183.000000,0.426450,0.999905,9.440446,0.116994,1.107004
internalMesh,9071,0.050276,0.018597,0.000000,0.053605,9.322296,-1.236741,-0.000000,9.403975,2.704448,1.158881,0.000000,-1.258674,-0.000000,0.000000,3.200204,10.015278,-1.185264,-0.000000,10.085170,1.931665,0.000011,10.693782,2798531.250000,0.675996,0.999899,9.405389,0.119057,1.122799
internalMesh,9072,0.051195,0.018614,0.000000,0.054474,9.279889,-1.266444,-0.000000,9.365908,2.726046,1.253816,0.000000,-1.331883,-0.000000,0.000000,3.282879,9.992051,-1.250185,-0.000000,10.069958,1.989931,0.000011,10.845258,2777843.750000,0.901862,0.999888,9.367544,0.121226,1.139144
internalMesh,9073,0.052122,0.018632,0.000000,0.055352,9.233355,-1.293720,0.000000,9.323548,2.743143,1.356653,0.000000,-1.399369,0.000000,0.000000,3.365052,9.965148,-1.320081,0.000000,10.052203,2.049898,0.000012,10.984859,2757126.500000,1.092453,0.999864,9.325447,0.123487,1.155714
internalMesh,9074,0.053055,0.018649,0.000000,0.056238,9.180827,-1.317775,0.000000,9.274919,2.752614,1.467004,0.000000,-1.457258,0.000000,0.000000,3.442759,9.933401,-1.394198,0.000000,10.030765,2.109809,0.000013,11.111563,2736369.250000,1.232540,0.999805,9.277122,0.125817,1.172005
internalMesh,9075,0.053996,0.018667,0.000000,0.057132,9.119867,-1.337614,-0.000000,9.217440,2.750563,1.583801,0.000000,-1.500422,-0.000000,0.000000,3.510739,9.896071,-1.470527,-0.000000,10.004733,2.167182,0.000014,11.224606,2715583.500000,1.301888,0.999727,9.219987,0.128183,1.187346
internalMesh,9076,0.054944,0.018685,0.000000,0.058035,9.047452,-1.351983,0.000000,9.147909,2.733097,1.704948,0.000000,-1.522441,0.000000,0.000000,3.562933,9.850663,-1.544883,0.000000,9.971069,2.219022,0.000015,11.323732,2694753.500000,1.280411,0.999550,9.150832,0.130556,1.200962
internalMesh,9077,0.055900,0.018703,0.000000,0.058946,8.960079,-1.359425,0.000000,9.062618,2.698017,1.827225,0.000000,-1.516102,0.000000,-0.000000,3.593969,9.795328,-1.610608,0.000000,9.926858,2.262621,0.000016,11.409211,2673889.250000,1.153833,0.999384,9.065946,0.132926,1.212183
internalMesh,9078,0.056863,0.018721,0.000000,0.059865,8.854055,-1.358298,0.000000,8.957638,2.647585,1.946135,0.000000,-1.474491,0.000000,0.000000,3.601565,9.730313,-1.661088,0.000000,9.871079,2.296860,0.000017,11.481808,2652986.250000,0.935262,0.999222,8.961376,0.135337,1.220765
internalMesh,9079,0.057834,0.018739,0.000000,0.060794,8.725954,-1.347058,0.000000,8.829317,2.591106,2.056781,0.000000,-1.392981,0.000000,-0.000000,3.589509,9.652379,-1.692025,0.000000,9.799560,2.323944,0.000018,11.542850,2632040.000000,0.671432,0.998928,8.833453,0.137931,1.227305
internalMesh,9080,0.058812,0.018757,0.000000,0.061730,8.573186,-1.324669,0.000000,8.674922,2.546501,2.155707,0.000000,-1.271306,0.000000,0.000000,3.570428,9.553920,-1.699021,0.000000,9.703816,2.351104,0.000020,11.593344,2611055.750000,0.424376,0.998164,8.679421,0.140990,1.233645
internalMesh,9081,0.059797,0.018776,0.000000,0.062676,8.394692,-1.290900,0.000000,8.493367,2.537579,2.242519,0.000000,-1.114714,-0.000000,0.000000,3.565219,9.430098,-1.682178,0.000000,9.578959,2.390049,0.000022,11.633381,2590026.750000,0.250881,0.994948,8.498176,0.144931,1.242712
internalMesh,9082,0.060790,0.018795,0.000000,0.063630,8.191243,-1.246708,-0.000000,8.285575,2.589073,2.322100,0.000000,-0.932841,-0.000000,0.000000,3.600784,9.272816,-1.639657,-0.000000,9.416665,2.455587,0.000025,11.661506,2568957.250000,0.194645,0.985230,8.290620,0.150280,1.258147
internalMesh,9083,0.061792,0.018813,0.000000,0.064592,7.965215,-1.193936,0.000000,8.054200,2.717849,2.403467,0.000000,-0.735828,0.000000,-0.000000,3.702000,9.070116,-1.571860,0.000000,9.205311,2.560658,0.000028,11.675300,2547842.500000,0.278975,0.976653,8.059401,0.157540,1.282970
internalMesh,9084,0.062800,0.018832,0.000000,0.065563,7.720403,-1.135011,-0.000000,7.803388,2.928327,2.498204,0.000000,-0.531552,-0.000000,-0.000000,3.885701,8.826735,-1.486540,-0.000000,8.951036,2.713265,0.000032,11.673064,2526685.750000,0.477872,0.970686,7.808659,0.167088,1.318725
internalMesh,9085,0.063817,0.018851,0.000000,0.066543,7.460808,-1.072191,0.000000,7.537457,3.211911,2.616176,0.000000,-0.323314,0.000000,0.000000,4.155152,8.546559,-1.392963,0.000000,8.659331,2.914044,0.000035,11.652283,2505483.750000,0.756292,0.967343,7.542719,0.179074,1.364792
internalMesh,9086,0.064841,0.018871,0.000000,0.067532,7.191856,-1.007862,0.000000,7.262134,3.541218,2.764865,0.000000,-0.109615,0.000000,-0.000000,4.494076,8.227944,-1.275362,0.000000,8.326200,3.153042,0.000037,11.605595,2484236.500000,1.103727,0.965770,7.267291,0.193214,1.417798
internalMesh,9087,0.065874,0.018890,0.000000,0.068529,6.920012,-0.945472,0.000000,6.984303,3.852121,2.941707,0.000000,0.131664,0.000000,0.000000,4.848691,7.927786,-1.198853,0.000000,8.017920,3.396914,0.000039,11.526075,2462943.500000,1.445597,0.965250,6.989217,0.208375,1.469464
internalMesh,9088,0.066915,0.018910,0.000000,0.069535,6.646904,-0.884503,0.000000,6.705496,4.122863,3.126696,0.000000,0.412487,0.000000,0.000000,5.190797,7.609537,-1.121986,0.000000,7.691808,3.624779,0.000043,11.422593,2441602.750000,1.826689,0.965319,6.710186,0.224078,1.515669
internalMesh,9089,0.067963,0.018929,0.000000,0.070550,6.370126,-0.821397,-0.000000,6.422865,4.395737,3.289774,0.000000,0.718309,-0.000000,0.000000,5.537245,7.206096,-0.997380,-0.000000,7.274791,3.842756,0.000046,11.305366,2420215.250000,2.210204,0.965072,6.427437,0.240839,1.558259
internalMesh,9090,0.069020,0.018949,0.000000,0.071574,6.088862,-0.752293,-0.000000,6.135160,4.729142,3.410970,0.000000,1.021728,-0.000000,-0.000000,5.919749,6.784125,-0.888092,-0.000000,6.842007,4.070056,0.000047,11.177381,2398777.500000,2.523585,0.964801,6.139691,0.259586,1.601291
internalMesh,9091,0.070085,0.018969,0.000000,0.072607,5.808754,-0.678005,-0.000000,5.848189,5.154088,3.504521,0.000000,1.291133,-0.000000,-0.000000,6.365007,6.356705,-0.829762,-0.000000,6.410632,4.329305,0.000047,11.036170,2377289.500000,2.627697,0.964097,5.852731,0.281169,1.649149
internalMesh,9092,0.071158,0.018989,0.000000,0.073648,5.542307,-0.605567,0.000000,5.575292,5.642068,3.610749,0.000000,1.512061,0.000000,0.000000,6.867079,5.976195,-0.878512,0.000000,6.040421,4.626408,0.000046,10.884958,2355753.250000,2.412389,0.963228,5.579918,0.305414,1.702630
internalMesh,9093,0.072240,0.019010,0.000000,0.074699,5.297156,-0.540656,0.000000,5.324676,6.143976,3.764225,0.000000,1.682303,0.000000,0.000000,7.399188,5.658913,-0.977692,0.000000,5.742750,4.954101,0.000044,10.740529,2334160.250000,1.848070,0.962183,5.329468,0.331642,1.759935
internalMesh,9094,0.073330,0.019030,0.000000,0.075759,5.068970,-0.480140,-0.000000,5.091659,6.652758,3.946435,0.000000,1.800938,-0.000000,-0.000000,7.942098,5.404500,-1.075400,-0.000000,5.510454,5.299596,0.000041,10.632793,2312515.250000,1.028625,0.961030,5.096626,0.359643,1.818528
internalMesh,9095,0.074428,0.019051,0.000000,0.076828,4.848769,-0.419042,0.000000,4.866842,7.210132,4.111024,0.000000,1.867258,0.000000,0.000000,8.507242,5.152943,-1.109536,0.000000,5.271043,5.660577,0.000042,10.585366,2290818.250000,0.117434,0.959898,4.871899,0.390070,1.877903
internalMesh,9096,0.075535,0.019071,0.000000,0.077906,4.633739,-0.355921,0.000000,4.647388,7.840590,4.227746,0.000000,1.880277,0.000000,0.000000,9.104073,4.841234,-1.026348,0.000000,4.948832,6.034168,0.000041,10.603159,2269059.500000,-0.748939,0.959105,4.652411,0.423304,1.937519
internalMesh,9097,0.076651,0.019092,0.000000,0.078993,4.426698,-0.293573,0.000000,4.436422,8.530471,4.294802,0.000000,1.845947,0.000000,0.000000,9.727372,4.551047,-0.914255,-0.000000,4.641971,6.412637,0.000039,10.680532,2247248.000000,-1.559114,0.958776,4.441337,0.459077,1.996175
internalMesh,9098,0.077775,0.019114,0.000000,0.080090,4.228313,-0.232571,0.000000,4.234704,9.270314,4.316348,0.000000,1.768993,0.000000,0.000000,10.377809,4.312028,-0.821898,-0.000000,4.389658,6.793331,0.000039,10.813039,2225380.000000,-2.259892,0.958984,4.239420,0.497411,2.053531
internalMesh,9099,0.078908,0.019135,0.000000,0.081195,4.039165,-0.171782,-0.000000,4.042816,10.059011,4.301184,0.000000,1.643843,-0.000000,-0.000000,11.062826,4.056211,-0.674268,0.000000,4.111871,7.180098,0.000038,10.996641,2203457.250000,-2.826092,0.959532,4.047169,0.538514,2.110175
internalMesh,9100,0.080050,0.019156,0.000000,0.082311,3.861606,-0.111717,0.000000,3.863222,10.886867,4.265921,0.000000,1.465919,0.000000,0.000000,11.784348,3.815304,-0.474802,0.000000,3.844734,7.576393,0.000035,11.223749,2181484.000000,-3.268097,0.960587,3.867088,0.582195,2.166535
internalMesh,9101,0.081201,0.019178,0.000000,0.083435,3.700047,-0.058760,-0.000000,3.700513,11.714331,4.229125,0.000000,1.265221,-0.000000,-0.000000,12.518459,3.633631,-0.289540,0.000000,3.645149,7.971728,0.000033,11.481353,2159456.750000,-3.493394,0.961658,3.703867,0.627113,2.221028
internalMesh,9102,0.082361,0.019200,0.000000,0.084569,3.561903,-0.020259,-0.000000,3.561961,12.449006,4.176844,0.000000,1.104151,-0.000000,-0.000000,13.177364,3.475601,-0.114715,0.000000,3.477494,8.312926,0.000033,11.755687,2137383.750000,-3.436063,0.962753,3.564829,0.669108,2.266506
internalMesh,9103,0.083530,0.019222,0.000000,0.085713,3.447556,0.002574,0.000000,3.447557,13.052505,4.094460,0.000000,1.020447,0.000000,0.000000,13.717646,3.286591,0.070888,0.000000,3.287355,8.573483,0.000033,12.027889,2115257.750000,-3.075814,0.963504,3.449958,0.705878,2.299980
internalMesh,9104,0.084707,0.019244,0.000000,0.086866,3.352505,0.014367,0.000000,3.352536,13.555305,4.004675,0.000000,0.989033,0.000000,0.000000,14.169046,3.126971,0.202335,0.000000,3.133511,8.779990,0.000031,12.289961,2093085.875000,-2.505458,0.964109,3.354498,0.738372,2.325529
internalMesh,9105,0.085894,0.019266,0.000000,0.088028,3.270381,0.020011,0.000000,3.270442,14.013584,3.921438,0.000000,0.977490,0.000000,0.000000,14.584707,3.022179,0.267230,0.000000,3.033971,8.967512,0.000028,12.539659,2070866.500000,-1.818474,0.964835,3.272072,0.768732,2.348092
internalMesh,9106,0.087091,0.019288,0.000000,0.089201,3.199020,0.019826,0.000000,3.199082,14.424842,3.833297,0.000000,0.991383,-0.000000,0.000000,14.958378,2.973219,0.284597,-0.000000,2.986809,9.129070,0.000027,12.777660,2048601.750000,-1.000040,0.965514,3.200488,0.796640,2.366887
internalMesh,9107,0.088296,0.019311,0.000000,0.090383,3.137665,0.014301,0.000000,3.137698,14.798550,3.746506,0.000000,1.022852,0.000000,0.000000,15.299661,2.950605,0.287012,0.000000,2.964531,9.272527,0.000026,13.002749,2026294.625000,-0.016950,0.965961,3.138962,0.822248,2.383004
internalMesh,9108,0.089511,0.019334,0.000000,0.091575,3.082845,0.006093,0.000000,3.082851,15.164641,3.670931,0.000000,1.047124,-0.000000,0.000000,15.637729,2.931216,0.303971,0.000000,2.946935,9.417787,0.000025,13.219204,2003942.875000,1.156561,0.966204,3.084049,0.847152,2.399092
internalMesh,9109,0.090735,0.019357,0.000000,0.092777,3.035883,-0.005595,0.000000,3.035888,15.511106,3.605282,0.000000,1.063240,0.000000,0.000000,15.960042,2.916661,0.338155,0.000000,2.936198,9.558194,0.000025,13.431509,1981553.875000,2.449886,0.966320,3.037126,0.870299,2.414416
internalMesh,9110,0.091969,0.019380,0.000000,0.093989,2.995214,-0.019674,0.000000,2.995278,15.838612,3.550749,0.000000,1.064885,-0.000000,0.000000,16.266636,2.886481,0.369832,0.000000,2.910077,9.694680,0.000026,13.646482,1959121.625000,3.751292,0.966338,2.996664,0.891920,2.429203
internalMesh,9111,0.093212,0.019403,0.000000,0.095211,2.959415,-0.034664,0.000000,2.959618,16.144110,3.507296,0.000000,1.047073,0.000000,0.000000,16.553844,2.851796,0.333998,0.000000,2.871288,9.825704,0.000027,13.868823,1936654.625000,4.907491,0.966180,2.961252,0.912183,2.443330
internalMesh,9112,0.094466,0.019427,0.000000,0.096442,2.926238,-0.048574,0.000000,2.926641,16.424749,3.472886,0.000000,1.011086,0.000000,0.000000,16.818312,2.849565,0.200108,0.000000,2.856582,9.948818,0.000028,14.100118,1914145.500000,5.801621,0.965783,2.928599,0.931683,2.456541
internalMesh,9113,0.095728,0.019451,0.000000,0.097684,2.894069,-0.059814,-0.000000,2.894687,16.675331,3.443646,0.000000,0.962181,-0.000000,-0.000000,17.054359,2.856622,0.035439,-0.000000,2.856842,10.059489,0.000028,14.338652,1891604.000000,6.425318,0.965508,2.897005,0.950814,2.468311
internalMesh,9114,0.097001,0.019475,0.000000,0.098937,2.862330,-0.067646,0.000000,2.863129,16.892487,3.415234,0.000000,0.907834,0.000000,0.000000,17.258160,2.846919,-0.108109,0.000000,2.848970,10.153860,0.000027,14.580230,1869026.125000,6.813948,0.965202,2.865799,0.969699,2.478180
internalMesh,9115,0.098284,0.019499,0.000000,0.100199,2.831506,-0.071682,-0.000000,2.832414,17.077009,3.383824,0.000000,0.853127,-0.000000,-0.000000,17.429926,2.800905,-0.215229,-0.000000,2.809162,10.230417,0.000027,14.820600,1846418.750000,7.046985,0.964929,2.835378,0.988148,2.485963
internalMesh,9116,0.099576,0.019523,0.000000,0.101472,2.802681,-0.071910,0.000000,2.803604,17.231874,3.346227,0.000000,0.799095,0.000000,0.000000,17.571945,2.718777,-0.266087,0.000000,2.731767,10.289051,0.000027,15.056429,1823778.250000,7.248641,0.964829,2.806757,1.005709,2.491629
internalMesh,9117,0.100879,0.019547,0.000000,0.102755,2.776291,-0.068978,0.000000,2.777147,17.359013,3.301280,0.000000,0.745542,0.000000,0.000000,17.685860,2.626724,-0.246922,0.000000,2.638304,10.330146,0.000027,15.285247,1801110.125000,7.468911,0.964896,2.780374,1.022154,2.495192
internalMesh,9118,0.102191,0.019572,0.000000,0.104049,2.752240,-0.063582,0.000000,2.752974,17.458305,3.248832,0.000000,0.694807,0.000000,0.000000,17.771608,2.490844,-0.200990,0.000000,2.498940,10.353568,0.000028,15.504383,1778411.500000,7.662114,0.965203,2.756169,1.037384,2.496598
internalMesh,9119,0.103514,0.019597,0.000000,0.105353,2.730380,-0.055521,0.000000,2.730944,17.529182,3.186105,0.000000,0.649388,0.000000,0.000000,17.828215,2.315063,-0.166504,0.000000,2.321043,10.357644,0.000027,15.712322,1755691.500000,7.803879,0.965481,2.733998,1.051171,2.495608
internalMesh,9120,0.104847,0.019622,0.000000,0.106668,2.710344,-0.044166,0.000000,2.710704,17.570301,3.109176,0.000000,0.607707,0.000000,0.000000,17.853621,2.188035,-0.154867,0.000000,2.193508,10.339737,0.000025,15.909149,1732944.875000,7.829278,0.965680,2.713512,1.063364,2.491874
internalMesh,9121,0.106191,0.019647,0.000000,0.107993,2.692253,-0.029321,0.000000,2.692413,17.579363,3.016871,0.000000,0.563500,0.000000,0.000000,17.845253,2.126453,-0.148819,0.000000,2.131654,10.298117,0.000024,16.096689,1710177.875000,7.739274,0.965807,2.694895,1.073587,2.485150
internalMesh,9122,0.107545,0.019673,0.000000,0.109329,2.676966,-0.011035,-0.000000,2.676989,17.552593,2.908778,0.000000,0.504746,-0.000000,-0.000000,17.799137,2.072409,-0.132461,-0.000000,2.076638,10.230685,0.000024,16.278124,1687388.250000,7.563965,0.965832,2.679093,1.081030,2.475148
