Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,fOmega_average,kU_average,k_average,nut_average,omegaU_average,omega_average,p_average
internalMesh,590,0.032528413460,-0.024850410409,0.000000000000,0.040934589038,-1.295574069023,0.076666243374,0.000000000000,1.297840476036,1.098729968071,4.074991226196,4.477330207825,0.000918189122,3568.226074218750,3247.580566406250,-6.640364170074
internalMesh,591,0.033309699968,-0.024850767106,0.000000000000,0.041558353404,-1.373380303383,0.079811282456,0.000000000000,1.375697374344,1.082950234413,4.281003952026,4.636133670807,0.000904756656,3750.333251953125,3463.056396484375,-6.784856319427
internalMesh,592,0.034097060561,-0.024851126596,0.000000000000,0.042192274554,-1.453647375107,0.081798054278,0.000000000000,1.455946922302,1.068140029907,4.478751659393,4.783943653107,0.000890576863,3933.893554687500,3682.927246093750,-6.936439037323
internalMesh,593,0.034890543669,-0.024851488881,0.000000000000,0.042836275949,-1.535674929619,0.083247967064,0.000000000000,1.537929654121,1.054210186005,4.666779518127,4.919786453247,0.000876933918,4117.037109375000,3905.313232421875,-7.095101356506
internalMesh,594,0.035690195858,-0.024851853959,0.000000000000,0.043490283117,-1.618961215019,0.084291175008,0.000000000000,1.621154069901,1.041090011597,4.843613624573,5.042648315430,0.000863172696,4298.593261718750,4128.918457031250,-7.259407997131
internalMesh,595,0.036496063694,-0.024852222297,0.000000000000,0.044154225373,-1.702986001968,0.084540955722,0.000000000000,1.705083131790,1.028720378876,5.008317470551,5.152143955231,0.000849516538,4477.494140625000,4352.498535156250,-7.426927566528
internalMesh,596,0.037308197469,-0.024852592964,0.000000000000,0.044828037826,-1.787043690681,0.083992056549,0.000000000000,1.789016485214,1.017019748688,5.160972595215,5.248811244965,0.000836587336,4652.530273437500,4574.671386718750,-7.595799922943
internalMesh,597,0.038126647472,-0.024852966424,0.000000000000,0.045511659908,-1.870411515236,0.082831136882,0.000000000000,1.872244715691,1.005929946899,5.301769733429,5.333210945129,0.000824496732,4823.142578125000,4794.706542968750,-7.764138698578
internalMesh,598,0.038951460272,-0.024853343144,0.000000000000,0.046205031358,-1.952459931374,0.081159345806,0.000000000000,1.954146027565,1.000000000000,5.431612491608,5.431612491608,0.000813360210,4989.526855468750,4989.526855468750,-7.929556846619
internalMesh,599,0.039782684296,-0.024853722658,0.000000000000,0.046908096314,-2.032628536224,0.079091005027,0.000000000000,2.034166812897,1.000000000000,5.550562858582,5.550562858582,0.000803094241,5150.657226562500,5150.657226562500,-8.089472770691
internalMesh,600,0.040620369837,-0.024854105432,0.000000000000,0.047620804303,-2.110463619232,0.076661594212,0.000000000000,2.111855506897,1.000000000000,5.657528400421,5.657528400421,0.000793409592,5304.251464843750,5304.251464843750,-8.241436004639
internalMesh,601,0.041464569047,-0.024854490999,0.000000000000,0.048343109220,-2.185536384583,0.073869563639,0.000000000000,2.186784505844,1.000000000000,5.752473354340,5.752473354340,0.000784213247,5449.519042968750,5449.519042968750,-8.383269309998
internalMesh,602,0.042315332219,-0.024854879361,0.000000000000,0.049074966825,-2.257484436035,0.070755645633,0.000000000000,2.258593082428,1.000000000000,5.835827350616,5.835827350616,0.000775479944,5586.140136718750,5586.140136718750,-8.512998580933
internalMesh,603,0.043172709644,-0.024855270982,0.000000000000,0.049816336212,-2.326020479202,0.067390292883,0.000000000000,2.326996564865,1.000000000000,5.908170223236,5.908170223236,0.000767186866,5714.019042968750,5714.019042968750,-8.628892898560
internalMesh,604,0.044036753476,-0.024855665397,0.000000000000,0.050567180651,-2.390926122665,0.063837096095,0.000000000000,2.391778230667,1.000000000000,5.970139026642,5.970139026642,0.000759307295,5833.204101562500,5833.204101562500,-8.729562759399
internalMesh,605,0.044907514006,-0.024856063072,0.000000000000,0.051327465217,-2.452043771744,0.060149893165,-0.000000000000,2.452781438828,1.000000000000,6.022381305695,6.022381305695,0.000751823944,5943.799804687500,5943.799804687500,-8.813902854919
internalMesh,606,0.045785045251,-0.024856464006,0.000000000000,0.052097160878,-2.509258985519,0.056374471635,0.000000000000,2.509892225266,1.000000000000,6.065529823303,6.065529823303,0.000744720688,6045.937988281250,6045.937988281250,-8.881064414978
internalMesh,607,0.046669399366,-0.024856867734,0.000000000000,0.052876239567,-2.562497615814,0.052549287677,0.000000000000,2.563036441803,1.000000000000,6.100202083588,6.100202083588,0.000737988448,6139.756347656250,6139.756347656250,-8.930460929871
internalMesh,608,0.047560628504,-0.024857274722,0.000000000000,0.053664676374,-2.611712932587,0.048708621413,0.000000000000,2.612167119980,1.000000000000,6.126965522766,6.126965522766,0.000731629843,6225.389160156250,6225.389160156250,-8.961667060852
internalMesh,609,0.048458786681,-0.024857684970,0.000000000000,0.054462450447,-2.656879425049,0.044889882207,0.000000000000,2.657258510590,1.000000000000,6.146384716034,6.146384716034,0.000725659716,6302.982421875000,6302.982421875000,-8.974504470825
internalMesh,610,0.049363927916,-0.024858098477,0.000000000000,0.055269543504,-2.698001861572,0.041141722351,0.000000000000,2.698315620422,1.000000000000,6.158944606781,6.158944606781,0.000720111711,6372.672851562500,6372.672851562500,-8.969008445740
internalMesh,611,0.050276106223,-0.024858515244,0.000000000000,0.056085939745,-2.735117435455,0.037529971451,-0.000000000000,2.735374927521,1.000000000000,6.165096759796,6.165096759796,0.000715048809,6434.572265625000,6434.572265625000,-8.945466041565
internalMesh,612,0.051195375621,-0.024858934805,0.000000000000,0.056911625567,-2.768262386322,0.034133195877,0.000000000000,2.768472909927,1.000000000000,6.165258407593,6.165258407593,0.000710583234,6488.744140625000,6488.744140625000,-8.904244422913
internalMesh,613,0.052121793851,-0.024859357625,0.000000000000,0.057746593456,-2.797515630722,0.031031494960,0.000000000000,2.797687768936,1.000000000000,6.159758090973,6.159758090973,0.000706880528,6535.164550781250,6535.164550781250,-8.845478057861
internalMesh,614,0.053055414930,-0.024859784171,0.000000000000,0.058590834799,-2.823170661926,0.028199901804,-0.000000000000,2.823311567307,1.000000000000,6.149146080017,6.149146080017,0.000703494705,6574.811035156250,6574.811035156250,-8.768811225891
