Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,1296,0.173138,-0.022002,0.000000,0.174530,4.361168,0.081321,-0.000502,4.361926,8.218176,0.623052,0.000149,0.138434,-0.003335,-0.001622,8.242924,4.084423,0.133880,-0.002058,4.086617,4.420688,0.000004,20.626284,786773.437500,16.078640,0.867871
internalMesh,1297,0.175012,-0.022008,0.000000,0.176390,4.334261,0.080392,-0.000248,4.335007,8.127555,0.611930,0.000147,0.157164,-0.003433,-0.003117,8.152075,4.027036,0.115279,-0.002328,4.028686,4.369816,0.000004,20.484102,765089.000000,15.797640,0.862450
internalMesh,1298,0.176901,-0.022014,0.000000,0.178266,4.303548,0.074874,0.000033,4.304199,7.993944,0.596877,0.000151,0.182772,-0.003707,-0.004584,8.018282,4.016592,0.073613,-0.002449,4.017267,4.295487,0.000004,20.356619,743540.812500,15.551618,0.857945
internalMesh,1299,0.178805,-0.022020,0.000000,0.180156,4.269888,0.065079,0.000282,4.270384,7.826601,0.578928,0.000158,0.211673,-0.004079,-0.005558,7.850840,4.016396,0.079897,-0.002151,4.017191,4.202843,0.000004,20.249035,722136.812500,15.424940,0.853674
internalMesh,1300,0.180723,-0.022147,0.000000,0.182075,4.234693,0.051023,0.000459,4.235000,7.636445,0.561435,0.000164,0.243970,-0.004385,-0.005849,7.660945,3.987496,0.106363,-0.001639,3.988914,4.099023,0.000004,20.165266,700886.375000,15.401653,0.849679
internalMesh,1301,0.182657,-0.022153,0.000000,0.183995,4.200021,0.034752,0.000559,4.200165,7.448918,0.550290,0.000165,0.273759,-0.004516,-0.005485,7.474235,3.908617,0.090460,-0.001034,3.909664,3.999686,0.000004,20.107519,679799.312500,15.414875,0.845783
internalMesh,1302,0.184605,-0.022039,0.000000,0.185916,4.168898,0.017813,0.000587,4.168936,7.276475,0.549796,0.000161,0.302040,-0.004446,-0.004672,7.303467,3.792907,0.033188,-0.000211,3.793052,3.913216,0.000004,20.075571,658887.625000,15.457399,0.842898
internalMesh,1303,0.186569,-0.022045,0.000000,0.187867,4.145387,0.002734,0.000569,4.145388,7.115867,0.559796,0.000154,0.326582,-0.004227,-0.003742,7.145321,3.701847,-0.015596,0.000856,3.701880,3.837908,0.000004,20.067898,638161.125000,15.520248,0.843232
internalMesh,1304,0.188548,-0.022052,0.000000,0.189833,4.129303,-0.009297,0.000534,4.129313,6.959552,0.575507,0.000148,0.337315,-0.003938,-0.002943,6.991450,3.669011,-0.028768,0.002061,3.669125,3.767604,0.000004,20.077953,617628.000000,15.603054,0.845241
internalMesh,1305,0.190542,-0.021947,0.000000,0.191802,4.119771,-0.014964,0.000492,4.119799,6.815917,0.585322,0.000143,0.331074,-0.003619,-0.002284,6.849012,3.660300,-0.019538,0.003164,3.660354,3.700691,0.000004,20.095152,597295.125000,15.768210,0.846736
internalMesh,1306,0.192552,-0.021953,0.000000,0.193799,4.110097,-0.016151,0.000429,4.110129,6.684924,0.579096,0.000139,0.307365,-0.003218,-0.001590,6.716997,3.639801,-0.010297,0.003828,3.639818,3.632079,0.000004,20.107109,577168.562500,16.003481,0.847864
internalMesh,1307,0.194577,-0.022071,0.000000,0.195825,4.100303,-0.008572,0.000335,4.100312,6.591721,0.554988,0.000132,0.282213,-0.002705,-0.000802,6.621061,3.608014,-0.007228,0.004101,3.608024,3.573421,0.000004,20.108540,557256.312500,16.247770,0.849458
internalMesh,1308,0.196277,-0.022234,0.000000,0.197532,4.082942,0.000017,0.000210,4.082942,6.509573,0.519197,0.000126,0.256867,-0.002107,-0.000029,6.535295,3.559409,-0.008737,0.004125,3.559422,3.514447,0.000004,20.096872,537567.625000,16.475565,0.851437
internalMesh,1309,0.199020,-0.022401,0.000000,0.200277,4.066892,0.021019,0.000063,4.066947,6.470044,0.479045,0.000117,0.255720,-0.001538,0.000605,6.492792,3.539154,0.008869,0.003565,3.539166,3.474603,0.000003,20.084898,518113.656250,16.659464,0.853209
